Base_ID	Panel	PH	EH
Ames19309	NCRIPS	-22.67551255	-23.71046036
Ames19311	NCRIPS	-31.74643655	-20.15274536
Ames19313	NCRIPS	-32.74822455	-26.89943036
Ames19314	NCRIPS	-11.88547655	-10.45814636
Ames19318	NCRIPS	-39.46919255	-29.51747336
Ames19319	NCRIPS	-23.99847255	-24.93954836
Ames19321	NCRIPS	-13.57855255	-9.221804365
Ames19323	NCRIPS	8.684527452	5.023935635
Ames19324	NCRIPS	-15.96052455	-21.26428136
Ames19326	NCRIPS	-20.84452855	-10.29102536
Ames19327	NCRIPS	15.127839450000002	12.99636064
Ames19328	NCRIPS	-16.39890455	-17.54632736
Ames19330	NCRIPS	-26.27289655	-33.88958936
Ames20118	NCRIPS	-3.055316548	-9.527309365
Ames20119	NCRIPS	-25.93258855	-25.10611136
Ames20120	NCRIPS	-0.654668548	-15.12535136
Ames20137	NCRIPS	44.39175145	4.623756635
Ames20140	NCRIPS	-28.41373655	-24.77996036
Ames20190	NCRIPS	-47.561328550000006	-41.56469336
Ames20191	NCRIPS	-36.23465655	-29.14910036
Ames21095	NCRIPS	19.48919145	7.096161635
Ames21512	NCRIPS	-35.10949655	-11.50969736
Ames22011	NCRIPS	-30.81742055	-34.68185636
Ames22015	NCRIPS	-60.56102055	-54.29732336
Ames22016	NCRIPS	-47.88075255	-39.13088336
Ames22017	NCRIPS	-77.47163255	-49.03919636
Ames22018	NCRIPS	-40.55010055	-36.13451636
Ames22019	NCRIPS	-27.43743255	-47.33915636
Ames22020	NCRIPS	-28.69019655	-37.56876236
Ames22021	NCRIPS	-30.76176055	-43.92280136
Ames22022	NCRIPS	-38.59970055	-38.41097036
Ames22023	NCRIPS	-16.76773255	-21.39624836
Ames22024	NCRIPS	-46.57922855	-39.41741636
Ames22025	NCRIPS	-32.16080455	-39.99708536
Ames22026	NCRIPS	-20.63587255	-26.81638136
Ames22028	NCRIPS	-50.66347655	-39.81248036
Ames22029	NCRIPS	-61.87809255	-53.46897236
Ames22030	NCRIPS	-49.87328855	-32.88035336
Ames22031	NCRIPS	-48.61362455	-36.43955636
Ames22032	NCRIPS	-38.84377655	-49.70191436
Ames22033	NCRIPS	-28.92930455	-35.41664936
Ames22034	NCRIPS	-71.13163655	-49.27839236
Ames22036	NCRIPS	-49.14943255	-42.68376236
Ames22040	NCRIPS	-67.02567655	-53.28669236
Ames22041	NCRIPS	-68.37007255	-47.70436736
Ames22042	NCRIPS	-51.07876455	-35.74391636
Ames22044	NCRIPS	-30.21988055	-39.02486336
Ames22045	NCRIPS	-49.73464455	-40.18141136
Ames22046	NCRIPS	-30.51124455	-41.43970136
Ames22047	NCRIPS	-45.61414855	-30.30378836
Ames22048	NCRIPS	-21.05603655	-38.89996436
Ames22049	NCRIPS	-38.69427655	-35.14248536
Ames22050	NCRIPS	-55.96111255	-46.42487336
Ames22051	NCRIPS	-44.15898455	-15.09456836
Ames22053	NCRIPS	-48.70268055	-30.16670636
Ames22054	NCRIPS	-69.20377655	-48.22321436
Ames22055	NCRIPS	-49.67834055	-36.39826436
Ames22056	NCRIPS	-54.80034855	-43.83231236
Ames22057	NCRIPS	-43.19068455	-39.93942536
Ames22058	NCRIPS	-48.64361655	-37.92458036
Ames22059	NCRIPS	-46.45061255	-31.02370136
Ames22060	NCRIPS	-51.53775255	-39.94835336
Ames22061	NCRIPS	-7.477296548	-12.22579736
Ames22062	NCRIPS	-29.50559255	-30.62352236
Ames22063	NCRIPS	-44.70712055	-33.62584136
Ames22064	NCRIPS	-41.30505255	-21.80154236
Ames22065	NCRIPS	-28.48347255	-35.63166536
Ames22066	NCRIPS	-51.31060455	-42.39425336
Ames22067	NCRIPS	-55.91686055	-52.55561936
Ames22439	NCRIPS	-43.77819655	-25.58375936
Ames22440	NCRIPS	4.355743452	2.902605635
Ames22443	NCRIPS	-40.92030855	-34.76406836
Ames22748	NCRIPS	-9.631016548	-19.11068036
Ames22749	NCRIPS	-2.500556548	-21.65664836
Ames22750	NCRIPS	-27.40928055	-27.51127736
Ames22751	NCRIPS	-24.10850455	-8.998511365
Ames22752	NCRIPS	-17.09378055	-12.90739436
Ames22753	NCRIPS	-4.966156548	-5.229779365
Ames22754	NCRIPS	-41.54958855	-24.98939636
Ames22755	NCRIPS	-23.53157255	-21.86506136
Ames22756	NCRIPS	3.418447452	9.202146635
Ames22757	NCRIPS	-22.47936855	-13.12399136
Ames22761	NCRIPS	21.42137545	21.67102864
Ames22762	NCRIPS	-2.951816548	7.965618635
Ames22767	NCRIPS	-70.92785655	-37.55230136
Ames22792	NCRIPS	-34.71168855	-31.47875036
Ames22793	NCRIPS	-34.85668055	-23.74589336
Ames22794	NCRIPS	-28.58099255	-16.37220236
Ames2326	NCRIPS	-40.70401655	-28.53762536
Ames2327	NCRIPS	-20.89384055	-20.53488236
Ames2328	NCRIPS	-30.44445255	-25.29592436
Ames2329	NCRIPS	-5.709976548	-11.99301836
Ames2330	NCRIPS	-27.86008055	-13.88008136
Ames2331	NCRIPS	-23.22824855	-16.05349136
Ames2332	NCRIPS	-25.57489255	-19.00410236
Ames2333	NCRIPS	-30.84658455	-7.182779365
Ames2334	NCRIPS	-65.26801655	-26.14203836
Ames2335	NCRIPS	-23.77712055	-5.120318365
Ames2336	NCRIPS	-56.39093655	-35.27008136
Ames2337	NCRIPS	-30.22098455	-13.03898936
Ames2338	NCRIPS	-18.73837255	-8.744621365
Ames23389	NCRIPS	-36.64129655	-33.72804836
Ames2339	NCRIPS	2.752459452	2.104851635
Ames23391	NCRIPS	-7.458988548	-24.34676636
Ames23393	NCRIPS	-38.93494855	-34.55314436
Ames23394	NCRIPS	-28.99168055	-21.43103036
Ames23395	NCRIPS	-12.03433255	-24.60177236
Ames23397	NCRIPS	-23.26514055	-23.02356236
Ames23398	NCRIPS	-27.06345255	-16.12342736
Ames23399	NCRIPS	-23.14646055	-23.16194636
Ames2340	NCRIPS	-32.90830455	-10.30106936
Ames23400	NCRIPS	-21.60812855	-19.37759036
Ames23402	NCRIPS	-29.45490055	-26.57876636
Ames23404	NCRIPS	-29.57707655	-27.88634636
Ames23408	NCRIPS	-40.78424055	-37.18523036
Ames23409	NCRIPS	-10.34190055	-12.63118436
Ames2341	NCRIPS	8.554071452	2.391756635
Ames23410	NCRIPS	-19.19046055	-9.141080365
Ames23413	NCRIPS	-20.19684855	-5.315432365
