model,source_panel,target_panel,distance,abs_error
Ridge,USP,NCRIPS,84.81755341046406,28.80690082388821
Ridge,USP,NCRIPS,127.62939554578453,29.847214750799537
Ridge,USP,NCRIPS,88.82491056486687,3.2125275763166368
Ridge,USP,NCRIPS,126.69889155364757,22.388037204944673
Ridge,USP,NCRIPS,82.1606372002224,9.465337485675807
Ridge,USP,NCRIPS,75.58497562628533,6.736909621965932
Ridge,USP,NCRIPS,78.41016695184945,13.663113354745061
Ridge,USP,NCRIPS,73.39774911271746,1.7630211910792575
Ridge,USP,NCRIPS,88.48031560931679,5.223776824616065
Ridge,USP,NCRIPS,76.62894317646033,2.1643656622438496
Ridge,USP,NCRIPS,76.44461329664531,4.615902810375621
Ridge,USP,NCRIPS,76.75962620883563,16.212898538235436
Ridge,USP,NCRIPS,70.36246262629851,21.863784619902717
Ridge,USP,NCRIPS,58.21251668621374,1.5977921711416472
Ridge,USP,NCRIPS,108.01059920896132,10.632537497249292
Ridge,USP,NCRIPS,78.53393831349763,32.010929484273184
Ridge,USP,NCRIPS,83.17494101165312,14.804513686365507
Ridge,USP,NCRIPS,75.75606899865258,11.10198198715003
Ridge,USP,NCRIPS,75.38450421771934,17.096425593500285
Ridge,USP,NCRIPS,77.52164514690541,4.217077174457368
Ridge,USP,NCRIPS,77.57746318571874,9.718956848961833
Ridge,USP,NCRIPS,70.67433777120294,4.2984898237726235
Ridge,USP,NCRIPS,72.159280421351,17.112964659983046
Ridge,USP,NCRIPS,74.64527347703935,18.91458754120201
Ridge,USP,NCRIPS,52.74902789103425,20.11011412145514
Ridge,USP,NCRIPS,69.63579123659657,12.587412416652189
Ridge,USP,NCRIPS,74.63877927199898,11.627264969186477
Ridge,USP,NCRIPS,69.94307180307095,7.309126589321217
Ridge,USP,NCRIPS,74.99627802089235,26.15133061990673
Ridge,USP,NCRIPS,71.74565323739769,13.464924297949558
Ridge,USP,NCRIPS,74.02457900995208,12.534554674131588
Ridge,USP,NCRIPS,71.82793802390857,18.502768485834054
Ridge,USP,NCRIPS,74.7343153934616,4.375427162481733
Ridge,USP,NCRIPS,74.17326030328292,1.808648985449988
Ridge,USP,NCRIPS,76.91566617196018,5.22539286455829
Ridge,USP,NCRIPS,76.45128812699552,33.910137273698155
Ridge,USP,NCRIPS,75.34402322481628,7.552617813447034
Ridge,USP,NCRIPS,68.80385408138164,25.127416577800467
Ridge,USP,NCRIPS,77.30357462411959,18.44294268319934
Ridge,USP,NCRIPS,78.16563100570174,11.7595639271067
Ridge,USP,NCRIPS,113.85343979231202,34.15654721173999
Ridge,USP,NCRIPS,77.94766265153835,24.36333259259115
Ridge,USP,NCRIPS,72.8575353435327,30.118056467657333
Ridge,USP,NCRIPS,80.46040726096865,33.74818507017863
Ridge,USP,NCRIPS,89.73722156503486,30.025966524253953
Ridge,USP,NCRIPS,67.55180196757597,35.545483960037025
Ridge,USP,NCRIPS,76.19982464726198,6.146417918263742
Ridge,USP,NCRIPS,76.53908657105929,6.461532340376955
Ridge,USP,NCRIPS,86.3650041436595,22.466868008013336
Ridge,USP,NCRIPS,91.80525700561877,7.927462692711574
Ridge,USP,NCRIPS,88.41162878179865,19.998498287397247
Ridge,USP,NCRIPS,168.64054199273374,28.040939401454455
Ridge,USP,NCRIPS,92.3172110030159,16.92398413100161
Ridge,USP,NCRIPS,147.06369703980883,1.8888565185378132
Ridge,USP,NCRIPS,88.30481445078289,14.456368525118622
Ridge,USP,NCRIPS,91.32701867784287,8.237530540407139
Ridge,USP,NCRIPS,85.99730774219634,33.43801541026171
Ridge,USP,NCRIPS,99.17096155811431,16.572827650115794
Ridge,USP,NCRIPS,96.16705905246279,30.06805705229766
Ridge,USP,NCRIPS,141.30103047161413,5.370526930546463
Ridge,USP,NCRIPS,84.24934269108071,32.81668306788752
Ridge,USP,NCRIPS,76.957791859342,22.656371144250087
Ridge,USP,NCRIPS,117.47555699946679,5.271564485363635
Ridge,USP,NCRIPS,130.56871049498983,33.89218678144496
Ridge,USP,NCRIPS,165.40250726511204,15.683810421765731
Ridge,USP,NCRIPS,138.2322781112455,10.999927121550272
Ridge,USP,NCRIPS,71.16788725886688,53.20436292904463
Ridge,USP,NCRIPS,31.234680721118877,33.837964834605984
Ridge,USP,NCRIPS,152.61181041042354,14.629062904253193
Ridge,USP,NCRIPS,95.03890443131901,11.588898172349749
Ridge,USP,NCRIPS,76.73713623148619,35.364288532342684
Ridge,USP,NCRIPS,89.49215158675884,15.249989078658201
Ridge,USP,NCRIPS,156.24856829854474,32.15434422472251
Ridge,USP,NCRIPS,91.81314356954051,36.2170242979445
Ridge,USP,NCRIPS,119.57210101742577,14.931823264210232
Ridge,USP,NCRIPS,138.16004513736178,2.4107318479658835
Ridge,USP,NCRIPS,138.89183003226114,3.6091793678725694
Ridge,USP,NCRIPS,144.98741075214107,16.90468945749997
Ridge,USP,NCRIPS,80.26944922795869,30.778161333383093
Ridge,USP,NCRIPS,80.67361798226,20.781064091488673
Ridge,USP,NCRIPS,118.33607906523157,4.234339163378113
Ridge,USP,NCRIPS,139.8691645698976,5.752796393000685
Ridge,USP,NCRIPS,123.97865624134313,37.860832694883506
Ridge,USP,NCRIPS,139.4290893732107,14.168665716437518
Ridge,USP,NCRIPS,139.78344954963734,25.99555484894438
Ridge,USP,NCRIPS,115.1574550192874,10.815428311963496
Ridge,USP,NCRIPS,135.00918022547862,8.459829148337873
Ridge,USP,NCRIPS,177.19719465067638,15.88953226967162
Ridge,USP,NCRIPS,166.7412952084162,6.032082195148128
Ridge,USP,NCRIPS,172.29974402527617,4.707233811554474
Ridge,USP,NCRIPS,183.86842620139387,19.98429812711504
Ridge,USP,NCRIPS,173.15051243562698,33.87880802954376
Ridge,USP,NCRIPS,181.03446911983272,6.618382964149567
Ridge,USP,NCRIPS,160.45779064861787,21.496873548872465
Ridge,USP,NCRIPS,166.8485062932613,22.219716414777515
Ridge,USP,NCRIPS,121.17637773302616,34.39830440002344
Ridge,USP,NCRIPS,119.99413785924118,32.61373630293949
Ridge,USP,NCRIPS,79.18191427205669,13.9322454383029
Ridge,USP,NCRIPS,108.94832079423833,38.833619866452786
Ridge,USP,NCRIPS,118.75864864753886,26.92102326477786
Ridge,USP,NCRIPS,112.0556698176005,13.825144324762677
Ridge,USP,NCRIPS,126.69104270626798,8.750812666485478
Ridge,USP,NCRIPS,108.13433692961718,17.054531001539566
Ridge,USP,NCRIPS,99.16135667704226,24.265804009284338
Ridge,USP,NCRIPS,56.13925927490654,13.199545523655377
Ridge,USP,NCRIPS,119.09994087835103,21.34041156126823
Ridge,USP,NCRIPS,115.34898185417764,28.50187513682015
Ridge,USP,NCRIPS,76.77666115305648,4.951167404461639
Ridge,USP,NCRIPS,126.24955525082281,26.97303186930414
Ridge,USP,NCRIPS,138.82570582201333,4.611374378916873
Ridge,USP,NCRIPS,72.17820701803487,40.17886704611509
Ridge,USP,NCRIPS,83.77847182675458,31.995962042741102
Ridge,USP,NCRIPS,105.8486561679699,47.418096569109295
Ridge,USP,NCRIPS,86.60175078490866,35.50519131039883
Ridge,USP,NCRIPS,73.78023976117953,18.42590362843055
Ridge,USP,NCRIPS,80.76632246872424,37.176326406840424
Ridge,USP,NCRIPS,120.70243117950142,33.08527701997838
Ridge,USP,NCRIPS,141.42269010731383,61.03997973245303
Ridge,USP,NCRIPS,120.85921216890634,45.408350621405916
Ridge,USP,NCRIPS,130.80914262901692,78.20847847580986
Ridge,USP,NCRIPS,134.99845729036647,40.83539224688428
Ridge,USP,NCRIPS,137.71064401524788,28.306412998111895
Ridge,USP,NCRIPS,186.23875104769215,30.03144369869109
Ridge,USP,NCRIPS,187.60903210262458,32.34541317649062
Ridge,USP,NCRIPS,138.822045929012,38.06876427740939
Ridge,USP,NCRIPS,113.2346976595542,18.605238396601603
Ridge,USP,NCRIPS,128.42514954527235,46.991006600576796
Ridge,USP,NCRIPS,110.98552338682642,31.080847758101942
Ridge,USP,NCRIPS,105.98836368561466,24.534051286350387
Ridge,USP,NCRIPS,158.2093519718613,53.44320839732115
Ridge,USP,NCRIPS,164.94264014686686,64.54677618948959
Ridge,USP,NCRIPS,155.44962349454195,49.88102637889591
Ridge,USP,NCRIPS,104.29189016812522,50.78966457328593
Ridge,USP,NCRIPS,190.03965825291337,41.27064652889976
Ridge,USP,NCRIPS,148.4291176707573,27.541940402917493
Ridge,USP,NCRIPS,135.5789943993747,71.60967304528478
Ridge,USP,NCRIPS,174.6320357933182,49.61140868194704
Ridge,USP,NCRIPS,125.30367692701601,66.86195220263305
Ridge,USP,NCRIPS,154.4680891070944,73.58232224028897
Ridge,USP,NCRIPS,159.91679167060823,48.31085835784717
Ridge,USP,NCRIPS,140.79982940397042,30.63663101861497
Ridge,USP,NCRIPS,112.6101072916837,50.68775386260378
Ridge,USP,NCRIPS,131.140496679316,31.771305101910997
Ridge,USP,NCRIPS,145.7712599198593,43.90893099009546
Ridge,USP,NCRIPS,183.17493000418722,23.274877617208332
Ridge,USP,NCRIPS,146.17405320861323,42.02987222933744
Ridge,USP,NCRIPS,151.61530974768874,56.952123836332945
Ridge,USP,NCRIPS,149.77843308860878,47.28102156018494
Ridge,USP,NCRIPS,132.0516279121646,52.89654256651273
Ridge,USP,NCRIPS,156.01356943511928,68.87309879736215
Ridge,USP,NCRIPS,159.53525105963038,45.757145505497505
